"","year","jid","domain_2016","domain_2022","var_cahmi","stem"
"1",2026,6.16,"Early Learning Skills","Early Learning Skills","CountTo_16","How high can this child count?"
"2",2022,7.22,"Early Learning Skills","Early Learning Skills","CountToR_22","If asked to count objects, how can can this child count correctly?"
"3",2022,8.22,"Early Learning Skills","Early Learning Skills","GroupOfObjects_22","How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?"
"4",2022,6.22,"Early Learning Skills","Early Learning Skills","ReadOneDigit_22","How often can this child read one-digit numbers (e.g., 2 or 8)?"
"5",2026,1.16,"Early Learning Skills","Early Learning Skills","RecogBegin_16","How often can this child recognize the beginning sound of a word?"
"6",2022,1.22,"Early Learning Skills","Early Learning Skills","RecogBegin_22","How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?"
"7",2026,2.16,"Early Learning Skills","Early Learning Skills","RecogLetter_16","How many letters of the alphabet can this child recognize?"
"8",2022,4.22,"Early Learning Skills","Early Learning Skills","RecogLetter_22","About how many letters of the alphabet can this child recognize?"
"9",2026,7.16,"Early Learning Skills","Early Learning Skills","RecogShapes_16","How often can this child identify basic shapes, such as a triangle, circle, or square?"
"10",2026,3.16,"Early Learning Skills","Early Learning Skills","RhymeWord_16","Can this child rhyme words?"
"11",2022,3.22,"Early Learning Skills","Early Learning Skills","RhymeWordR_22","How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?"
"12",2022,2.22,"Early Learning Skills","Early Learning Skills","SameSound_22","How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?"
"13",2022,9.22,"Early Learning Skills","Early Learning Skills","SimpleAddition_22","How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?"
"14",2026,5.16,"Early Learning Skills","Early Learning Skills","WriteName_16","How often can this child write his or her first name even if some of the letters aren't quite right or are backwards?"
"15",2022,5.22,"Early Learning Skills","Early Learning Skills","WriteName_22","How often can this child write their first name, even if some of the letters aren't quite right or are backwards?"
"16",2026,8.16,"Physical Health and Motor Development","Health","ChHlthSt_16","In general, how would you describe this child's health?"
"17",2022,25.22,"Physical Health and Motor Development","Health","ChHlthSt_22","In general how would describe this child's health?"
"18",2026,19.16,NA,"Health","HCABILITY","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do?"
"19",2022,27.22,"Physical Health and Motor Development","Health","HCABILITY","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do?"
"20",2026,20.16,NA,"Health","HCEXTENT","[If this child has a condition], To what extend do this child's health conditions or problems affect their ability to do things?"
"21",2022,28.22,"Physical Health and Motor Development","Health","HCEXTENT","[If this child has a condition], To what extend do this child's health conditions or problems affect their ability to do things?"
"22",2026,9.16,"Physical Health and Motor Development","Health","TeethCond_16","How would you describe the condition of this child's teeth?"
"23",2022,26.22,"Physical Health and Motor Development","Health","TeethCond_22","How would you describe the condition of this child's teeth?"
"24",2022,24.22,"Physical Health and Motor Development","Motor Development","BounceBall_22","How well can this child bounce a ball for several seconds?"
"25",2022,21.22,"Physical Health and Motor Development","Motor Development","DrawCircle_22","How well can this child draw a circle?"
"26",2022,22.22,"Physical Health and Motor Development","Motor Development","DrawFace_22","How well can this child draw a face or eyes and mouth?"
"27",2022,23.22,"Physical Health and Motor Development","Motor Development","DrawPerson_22","How well can this child draw a person with a head, body, arms, and legs?"
"28",2026,10.16,"Physical Health and Motor Development","Motor Development","UsePencil_16","When this child holds a pencil, does he or she use fingers to hold or does he or she grip it in his or fist?"
"29",2022,17.22,"Self-Regulation","Self-Regulation","CalmDownR_22","How often does this child have trouble calming down?"
"30",2026,15.16,"Self-Regulation","Self-Regulation","distracted_16","How often is this child easily distracted?"
"31",2022,19.22,"Self-Regulation","Self-Regulation","distracted_22","How often does this child get easily distracted?"
"32",2026,18.16,"Self-Regulation","Self-Regulation","SimpleInst_16","When he or she is paying attention, how often can this child follow instructions to complete a simple task?"
"33",2026,16.16,"Self-Regulation","Self-Regulation","SitStill1_16","Compared to other children his or her age, how often is this child able to sit still?"
"34",2022,16.22,"Self-Regulation","Self-Regulation","StartNewAct_22","How often does this child have difficulty when asked to end one activity and start a new activity?"
"35",2026,13.16,"Social-Emotional Development","Self-Regulation","temper_16","This child bounces back quickly when things do not go his or her way?"
"36",2022,20.22,"Self-Regulation","Self-Regulation","temperR_22","How often does this child lose their temper?"
"37",2022,18.22,"Self-Regulation","Self-Regulation","WaitForTurn_22","How often does this child have difficulty waiting for their turn?"
"38",2026,17.16,"Self-Regulation","Self-Regulation","WorkToFin_16","How often does this child keep working at something until he or she is finished?"
"39",2026,4.16,"Early Learning Skills","Social-Emotional Development","ClearExp_16","How often can this child explain things he or she has seen or done so that you get a very good idea of what happened?"
"40",2022,10.22,"Social-Emotional Development","Social-Emotional Development","ClearExp_22","How often can this child explain things they have seen or done so that you know what happened?"
"41",2022,15.22,"Social-Emotional Development","Social-Emotional Development","FocusOn_22","How often can this child focus on a task you give them for at least a few minutes?"
"42",2026,14.16,"Social-Emotional Development","Social-Emotional Development","HurtSad_16","How often does this child sho concern when others are hurt or unhappy?"
"43",2022,14.22,"Social-Emotional Development","Social-Emotional Development","HurtSad_22","How often does this child show concern when they see others who are hurt or unhappy?"
"44",2026,12.16,"Social-Emotional Development","Social-Emotional Development","MakeFr3to5_16","Compared to other children his or her age, how much difficulty does this child have making or keeping friends?"
"45",2022,11.22,"Social-Emotional Development","Social-Emotional Development","NameEmotions_22","How often can this child recognize and name their own emotions?"
"46",2026,11.16,"Social-Emotional Development","Social-Emotional Development","PlayWell_16","How often does this child play well with others?"
"47",2022,13.22,"Social-Emotional Development","Social-Emotional Development","PlayWell_22","How often does this child play well with other children?"
"48",2022,12.22,"Social-Emotional Development","Social-Emotional Development","ShareToys_22","How often does this child share toys or games with other children?"
